accession,full_id,description,length,gc_content,n_fraction,label,species,genus
PX480435,PX480435.1,"PX480435.1 Dengue virus type 3 isolate D20-0183, complete genome",10707,0.4694125338563557,0.0,ARB,Dengue virus 3,Flavivirus
PX480434,PX480434.1,"PX480434.1 Dengue virus type 3 isolate D20-0128, complete genome",10707,0.467731390678995,0.0,ARB,Dengue virus 3,Flavivirus
PX480433,PX480433.1,"PX480433.1 Dengue virus type 3 isolate D20-0127, complete genome",10707,0.4688521527972354,0.0,ARB,Dengue virus 3,Flavivirus
PX480432,PX480432.1,"PX480432.1 Dengue virus type 3 isolate D19-2479, complete genome",10707,0.4678247875221817,0.0,ARB,Dengue virus 3,Flavivirus
PX480431,PX480431.1,"PX480431.1 Dengue virus type 3 isolate D19-2240, complete genome",10707,0.4672644064630615,0.0,ARB,Dengue virus 3,Flavivirus
PX480430,PX480430.1,"PX480430.1 Dengue virus type 3 isolate D19-2221, complete genome",10707,0.4671710096198748,0.0,ARB,Dengue virus 3,Flavivirus
PX480429,PX480429.1,"PX480429.1 Dengue virus type 3 isolate D19-2204, complete genome",10707,0.4675445969926216,0.0,ARB,Dengue virus 3,Flavivirus
PX480428,PX480428.1,"PX480428.1 Dengue virus type 3 isolate D19-2179, complete genome",10707,0.467451200149435,0.0,ARB,Dengue virus 3,Flavivirus
PX480427,PX480427.1,"PX480427.1 Dengue virus type 3 isolate D19-2149, complete genome",10707,0.4689455496404222,0.0,ARB,Dengue virus 3,Flavivirus
PX480426,PX480426.1,"PX480426.1 Dengue virus type 3 isolate D19-2136, complete genome",10707,0.4684785654244887,0.0,ARB,Dengue virus 3,Flavivirus
PX480425,PX480425.1,"PX480425.1 Dengue virus type 3 isolate D19-2134, complete genome",10707,0.4691323433267955,0.0,ARB,Dengue virus 3,Flavivirus
PX480424,PX480424.1,"PX480424.1 Dengue virus type 3 isolate D19-2115, complete genome",10707,0.4679181843653685,0.0,ARB,Dengue virus 3,Flavivirus
PX480423,PX480423.1,"PX480423.1 Dengue virus type 3 isolate D19-2082, complete genome",10707,0.4665172317175679,0.0,ARB,Dengue virus 3,Flavivirus
PX480422,PX480422.1,"PX480422.1 Dengue virus type 3 isolate D19-2055, complete genome",10707,0.4665172317175679,0.0,ARB,Dengue virus 3,Flavivirus
PX480421,PX480421.1,"PX480421.1 Dengue virus type 3 isolate D19-2053, complete genome",10707,0.467451200149435,0.0,ARB,Dengue virus 3,Flavivirus
PX480420,PX480420.1,"PX480420.1 Dengue virus type 3 isolate D19-2042, complete genome",10707,0.4664238348743812,0.0,ARB,Dengue virus 3,Flavivirus
PX480419,PX480419.1,"PX480419.1 Dengue virus type 3 isolate D19-2037, complete genome",10707,0.4681983748949285,0.0,ARB,Dengue virus 3,Flavivirus
PX480418,PX480418.1,"PX480418.1 Dengue virus type 3 isolate D19-2035, complete genome",10707,0.4669842159335014,0.0,ARB,Dengue virus 3,Flavivirus
PX480417,PX480417.1,"PX480417.1 Dengue virus type 3 isolate D19-1990, complete genome",10707,0.4692257401699822,0.0,ARB,Dengue virus 3,Flavivirus
PX480416,PX480416.1,"PX480416.1 Dengue virus type 3 isolate D19-1983, complete genome",10707,0.4672644064630615,0.0,ARB,Dengue virus 3,Flavivirus
PX480415,PX480415.1,"PX480415.1 Dengue virus type 3 isolate D19-1974, complete genome",10707,0.4689455496404222,0.0,ARB,Dengue virus 3,Flavivirus
PX480414,PX480414.1,"PX480414.1 Dengue virus type 3 isolate D19-1964, complete genome",10707,0.4669842159335014,0.0,ARB,Dengue virus 3,Flavivirus
PX480413,PX480413.1,"PX480413.1 Dengue virus type 3 isolate D19-1963, complete genome",10707,0.4675445969926216,0.0,ARB,Dengue virus 3,Flavivirus
PX480412,PX480412.1,"PX480412.1 Dengue virus type 3 isolate D19-1951, complete genome",10707,0.4678247875221817,0.0,ARB,Dengue virus 3,Flavivirus
PX480411,PX480411.1,"PX480411.1 Dengue virus type 3 isolate D19-1950, complete genome",10707,0.468665359110862,0.0,ARB,Dengue virus 3,Flavivirus
PX480410,PX480410.1,"PX480410.1 Dengue virus type 3 isolate D19-1898, complete genome",10707,0.4673578033062482,0.0,ARB,Dengue virus 3,Flavivirus
PX480409,PX480409.1,"PX480409.1 Dengue virus type 3 isolate D19-1897, complete genome",10707,0.4689455496404222,0.0,ARB,Dengue virus 3,Flavivirus
PX480408,PX480408.1,"PX480408.1 Dengue virus type 3 isolate D19-1896, complete genome",10707,0.4683851685813019,0.0,ARB,Dengue virus 3,Flavivirus
PX480407,PX480407.1,"PX480407.1 Dengue virus type 3 isolate D19-1871, complete genome",10707,0.467731390678995,0.0,ARB,Dengue virus 3,Flavivirus
PX480406,PX480406.1,"PX480406.1 Dengue virus type 3 isolate D19-1861, complete genome",10707,0.466797422247128,0.0,ARB,Dengue virus 3,Flavivirus
PX480405,PX480405.1,"PX480405.1 Dengue virus type 3 isolate D19-1831, complete genome",10707,0.4685719622676753,0.0,ARB,Dengue virus 3,Flavivirus
PX480404,PX480404.1,"PX480404.1 Dengue virus type 3 isolate D19-1530, complete genome",10707,0.4688521527972354,0.0,ARB,Dengue virus 3,Flavivirus
PX480403,PX480403.1,"PX480403.1 Dengue virus type 3 isolate D19-1287, complete genome",10707,0.4665172317175679,0.0,ARB,Dengue virus 3,Flavivirus
PX480402,PX480402.1,"PX480402.1 Dengue virus type 3 isolate D19-1103, complete genome",10707,0.4672644064630615,0.0,ARB,Dengue virus 3,Flavivirus
PX480401,PX480401.1,"PX480401.1 Dengue virus type 3 isolate D19-1094, complete genome",10707,0.4671710096198748,0.0,ARB,Dengue virus 3,Flavivirus
PX480400,PX480400.1,"PX480400.1 Dengue virus type 3 isolate D19-0559, complete genome",10707,0.4666106285607546,0.0,ARB,Dengue virus 3,Flavivirus
PX480398,PX480398.1,"PX480398.1 Dengue virus type 3 isolate D19-0447, complete genome",10707,0.4668908190903147,0.0,ARB,Dengue virus 3,Flavivirus
PX480397,PX480397.1,"PX480397.1 Dengue virus type 3 isolate D19-0337, complete genome",10707,0.467451200149435,0.0,ARB,Dengue virus 3,Flavivirus
PX480396,PX480396.1,"PX480396.1 Dengue virus type 3 isolate D19-0332, complete genome",10707,0.4689455496404222,0.0,ARB,Dengue virus 3,Flavivirus
PX480395,PX480395.1,"PX480395.1 Dengue virus type 3 isolate D19-0142, complete genome",10707,0.4665172317175679,0.0,ARB,Dengue virus 3,Flavivirus
PX480394,PX480394.1,"PX480394.1 Dengue virus type 3 isolate D19-0141, complete genome",10707,0.4687587559540487,0.0,ARB,Dengue virus 3,Flavivirus
PX480393,PX480393.1,"PX480393.1 Dengue virus type 3 isolate D19-0140, complete genome",10707,0.4680115812085551,0.0,ARB,Dengue virus 3,Flavivirus
PX480392,PX480392.1,"PX480392.1 Dengue virus type 3 isolate D19-0113, complete genome",10707,0.4685719622676753,0.0,ARB,Dengue virus 3,Flavivirus
PX480391,PX480391.1,"PX480391.1 Dengue virus type 3 isolate D19-0021, complete genome",10707,0.467731390678995,0.0,ARB,Dengue virus 3,Flavivirus
PX480390,PX480390.1,"PX480390.1 Dengue virus type 3 isolate D18-3368, complete genome",10707,0.4668908190903147,0.0,ARB,Dengue virus 3,Flavivirus
PX480389,PX480389.1,"PX480389.1 Dengue virus type 3 isolate D18-3322, complete genome",10707,0.4691323433267955,0.0,ARB,Dengue virus 3,Flavivirus
PX480388,PX480388.1,"PX480388.1 Dengue virus type 3 isolate D18-3282, complete genome",10707,0.4670776127766881,0.0,ARB,Dengue virus 3,Flavivirus
PX480387,PX480387.1,"PX480387.1 Dengue virus type 3 isolate D18-3077, complete genome",10707,0.4672644064630615,0.0,ARB,Dengue virus 3,Flavivirus
PX480386,PX480386.1,"PX480386.1 Dengue virus type 3 isolate D18-3076, complete genome",10707,0.4680115812085551,0.0,ARB,Dengue virus 3,Flavivirus
PX480385,PX480385.1,"PX480385.1 Dengue virus type 3 isolate D18-2954, complete genome",10707,0.467731390678995,0.0,ARB,Dengue virus 3,Flavivirus
PX480384,PX480384.1,"PX480384.1 Dengue virus type 3 isolate D18-2897, complete genome",10707,0.467451200149435,0.0,ARB,Dengue virus 3,Flavivirus
PX480383,PX480383.1,"PX480383.1 Dengue virus type 3 isolate D18-2883, complete genome",10707,0.4666106285607546,0.0,ARB,Dengue virus 3,Flavivirus
PX480382,PX480382.1,"PX480382.1 Dengue virus type 3 isolate D18-2841, complete genome",10707,0.466797422247128,0.0,ARB,Dengue virus 3,Flavivirus
PX480381,PX480381.1,"PX480381.1 Dengue virus type 3 isolate D18-2787, complete genome",10707,0.468665359110862,0.0,ARB,Dengue virus 3,Flavivirus
PX480380,PX480380.1,"PX480380.1 Dengue virus type 3 isolate D18-2582, complete genome",10707,0.466797422247128,0.0,ARB,Dengue virus 3,Flavivirus
PX480379,PX480379.1,"PX480379.1 Dengue virus type 3 isolate D18-2531, complete genome",10707,0.4676379938358083,0.0,ARB,Dengue virus 3,Flavivirus
PX480378,PX480378.1,"PX480378.1 Dengue virus type 3 isolate D18-2384, complete genome",10707,0.4681049780517418,0.0,ARB,Dengue virus 3,Flavivirus
PX480377,PX480377.1,"PX480377.1 Dengue virus type 3 isolate D18-2300, complete genome",10707,0.4662370411880078,0.0,ARB,Dengue virus 3,Flavivirus
PX480376,PX480376.1,"PX480376.1 Dengue virus type 3 isolate D18-2291, complete genome",10707,0.4665172317175679,0.0,ARB,Dengue virus 3,Flavivirus
PX480375,PX480375.1,"PX480375.1 Dengue virus type 3 isolate D18-2287, complete genome",10707,0.4687587559540487,0.0,ARB,Dengue virus 3,Flavivirus
PX480374,PX480374.1,"PX480374.1 Dengue virus type 3 isolate D18-2001, complete genome",10707,0.4662370411880078,0.0,ARB,Dengue virus 3,Flavivirus
PX480373,PX480373.1,"PX480373.1 Dengue virus type 3 isolate D18-1999, complete genome",10707,0.4670776127766881,0.0,ARB,Dengue virus 3,Flavivirus
PX480372,PX480372.1,"PX480372.1 Dengue virus type 3 isolate D18-1993, complete genome",10707,0.4675445969926216,0.0,ARB,Dengue virus 3,Flavivirus
PX480371,PX480371.1,"PX480371.1 Dengue virus type 3 isolate D18-1991, complete genome",10707,0.4685719622676753,0.0,ARB,Dengue virus 3,Flavivirus
PX480370,PX480370.1,"PX480370.1 Dengue virus type 3 isolate D18-1986, complete genome",10707,0.466797422247128,0.0,ARB,Dengue virus 3,Flavivirus
PX480369,PX480369.1,"PX480369.1 Dengue virus type 3 isolate D18-1932, complete genome",10707,0.4681049780517418,0.0,ARB,Dengue virus 3,Flavivirus
PX480368,PX480368.1,"PX480368.1 Dengue virus type 3 isolate D18-1697, complete genome",10707,0.4659568506584477,0.0,ARB,Dengue virus 3,Flavivirus
PX480367,PX480367.1,"PX480367.1 Dengue virus type 3 isolate D18-1684, complete genome",10707,0.4685719622676753,0.0,ARB,Dengue virus 3,Flavivirus
PX480366,PX480366.1,"PX480366.1 Dengue virus type 3 isolate D18-1658, complete genome",10707,0.4688521527972354,0.0,ARB,Dengue virus 3,Flavivirus
PX480365,PX480365.1,"PX480365.1 Dengue virus type 3 isolate D18-1380, complete genome",10707,0.4662370411880078,0.0,ARB,Dengue virus 3,Flavivirus
PX480364,PX480364.1,"PX480364.1 Dengue virus type 3 isolate D18-1361, complete genome",10707,0.465863453815261,0.0,ARB,Dengue virus 3,Flavivirus
PX480363,PX480363.1,"PX480363.1 Dengue virus type 3 isolate D18-1342, complete genome",10707,0.4675445969926216,0.0,ARB,Dengue virus 3,Flavivirus
PX480362,PX480362.1,"PX480362.1 Dengue virus type 3 isolate D18-1315, complete genome",10707,0.4661436443448211,0.0,ARB,Dengue virus 3,Flavivirus
PX480361,PX480361.1,"PX480361.1 Dengue virus type 3 isolate D18-1202, complete genome",10707,0.4665172317175679,0.0,ARB,Dengue virus 3,Flavivirus
PX480360,PX480360.1,"PX480360.1 Dengue virus type 3 isolate D18-0989, complete genome",10707,0.466797422247128,0.0,ARB,Dengue virus 3,Flavivirus
PX480359,PX480359.1,"PX480359.1 Dengue virus type 3 isolate D18-0978, complete genome",10707,0.4664238348743812,0.0,ARB,Dengue virus 3,Flavivirus
PX480358,PX480358.1,"PX480358.1 Dengue virus type 3 isolate D18-0822, complete genome",10707,0.4668908190903147,0.0,ARB,Dengue virus 3,Flavivirus
PX480357,PX480357.1,"PX480357.1 Dengue virus type 3 isolate D18-0775, complete genome",10707,0.4678247875221817,0.0,ARB,Dengue virus 3,Flavivirus
PX480356,PX480356.1,"PX480356.1 Dengue virus type 3 isolate D18-0515, complete genome",10707,0.468665359110862,0.0,ARB,Dengue virus 3,Flavivirus
PX480355,PX480355.1,"PX480355.1 Dengue virus type 3 isolate D18-0457, complete genome",10707,0.4670776127766881,0.0,ARB,Dengue virus 3,Flavivirus
PX480354,PX480354.1,"PX480354.1 Dengue virus type 3 isolate D18-0403, complete genome",10707,0.467731390678995,0.0,ARB,Dengue virus 3,Flavivirus
PX480353,PX480353.1,"PX480353.1 Dengue virus type 3 isolate D18-0361, complete genome",10707,0.4683851685813019,0.0,ARB,Dengue virus 3,Flavivirus
PX480352,PX480352.1,"PX480352.1 Dengue virus type 3 isolate D18-0200, complete genome",10707,0.4667040254039413,0.0,ARB,Dengue virus 3,Flavivirus
PX480351,PX480351.1,"PX480351.1 Dengue virus type 3 isolate D18-0169, complete genome",10707,0.4673578033062482,0.0,ARB,Dengue virus 3,Flavivirus
PX480350,PX480350.1,"PX480350.1 Dengue virus type 3 isolate D18-0064, complete genome",10707,0.467731390678995,0.0,ARB,Dengue virus 3,Flavivirus
PX480349,PX480349.1,"PX480349.1 Dengue virus type 3 isolate D18-0052, complete genome",10707,0.466797422247128,0.0,ARB,Dengue virus 3,Flavivirus
PX480348,PX480348.1,"PX480348.1 Dengue virus type 3 isolate D18-0030, complete genome",10707,0.4673578033062482,0.0,ARB,Dengue virus 3,Flavivirus
PX480347,PX480347.1,"PX480347.1 Dengue virus type 3 isolate D17-3024, complete genome",10707,0.467731390678995,0.0,ARB,Dengue virus 3,Flavivirus
PX480346,PX480346.1,"PX480346.1 Dengue virus type 3 isolate D17-2265, complete genome",10707,0.4687587559540487,0.0,ARB,Dengue virus 3,Flavivirus
PX480345,PX480345.1,"PX480345.1 Dengue virus type 3 isolate D17-2232, complete genome",10707,0.4675445969926216,0.0,ARB,Dengue virus 3,Flavivirus
PX480344,PX480344.1,"PX480344.1 Dengue virus type 3 isolate D17-1911, complete genome",10707,0.4692257401699822,0.0,ARB,Dengue virus 3,Flavivirus
PX480343,PX480343.1,"PX480343.1 Dengue virus type 3 isolate D17-1829, complete genome",10707,0.4676379938358083,0.0,ARB,Dengue virus 3,Flavivirus
PX480342,PX480342.1,"PX480342.1 Dengue virus type 3 isolate D17-1799, complete genome",10707,0.4668908190903147,0.0,ARB,Dengue virus 3,Flavivirus
PX480341,PX480341.1,"PX480341.1 Dengue virus type 3 isolate D17-1790, complete genome",10707,0.467451200149435,0.0,ARB,Dengue virus 3,Flavivirus
PX480340,PX480340.1,"PX480340.1 Dengue virus type 3 isolate D17-1642, complete genome",10707,0.4671710096198748,0.0,ARB,Dengue virus 3,Flavivirus
PX480339,PX480339.1,"PX480339.1 Dengue virus type 3 isolate D17-1464, complete genome",10707,0.467451200149435,0.0,ARB,Dengue virus 3,Flavivirus
PX480338,PX480338.1,"PX480338.1 Dengue virus type 3 isolate D17-1165, complete genome",10707,0.4676379938358083,0.0,ARB,Dengue virus 3,Flavivirus
PX480337,PX480337.1,"PX480337.1 Dengue virus type 3 isolate D17-0764, complete genome",10707,0.4681049780517418,0.0,ARB,Dengue virus 3,Flavivirus
PX480336,PX480336.1,"PX480336.1 Dengue virus type 3 isolate D17-0554, complete genome",10707,0.4672644064630615,0.0,ARB,Dengue virus 3,Flavivirus
PX480335,PX480335.1,"PX480335.1 Dengue virus type 3 isolate D17-0445, complete genome",10707,0.4669842159335014,0.0,ARB,Dengue virus 3,Flavivirus
PX480334,PX480334.1,"PX480334.1 Dengue virus type 3 isolate D17-0442, complete genome",10707,0.467731390678995,0.0,ARB,Dengue virus 3,Flavivirus
PX480333,PX480333.1,"PX480333.1 Dengue virus type 3 isolate D17-0131, complete genome",10707,0.4683851685813019,0.0,ARB,Dengue virus 3,Flavivirus
PX480332,PX480332.1,"PX480332.1 Dengue virus type 3 isolate D17-0125, complete genome",10707,0.467731390678995,0.0,ARB,Dengue virus 3,Flavivirus
PX480331,PX480331.1,"PX480331.1 Dengue virus type 2 isolate D21-0290, complete genome",10723,0.4615312878858528,0.0,ARB,Dengue virus 2,Flavivirus
PX480330,PX480330.1,"PX480330.1 Dengue virus type 2 isolate D19-2681, complete genome",10723,0.4616245453697659,0.0,ARB,Dengue virus 2,Flavivirus
PX480329,PX480329.1,"PX480329.1 Dengue virus type 2 isolate D19-2668, complete genome",10723,0.4610650004662874,0.0,ARB,Dengue virus 2,Flavivirus
PX480328,PX480328.1,"PX480328.1 Dengue virus type 2 isolate D19-2620, complete genome",10723,0.4606919705306351,0.0,ARB,Dengue virus 2,Flavivirus
PX480327,PX480327.1,"PX480327.1 Dengue virus type 2 isolate D19-2610, complete genome",10723,0.4614380304019397,0.0,ARB,Dengue virus 2,Flavivirus
PX480326,PX480326.1,"PX480326.1 Dengue virus type 2 isolate D19-2563, complete genome",10723,0.4622773477571575,0.0,ARB,Dengue virus 2,Flavivirus
PX480325,PX480325.1,"PX480325.1 Dengue virus type 2 isolate D19-2535, complete genome",10723,0.4637694674997668,0.0,ARB,Dengue virus 2,Flavivirus
PX480324,PX480324.1,"PX480324.1 Dengue virus type 2 isolate D19-2446, complete genome",10723,0.4605054555628089,0.0,ARB,Dengue virus 2,Flavivirus
PX480323,PX480323.1,"PX480323.1 Dengue virus type 2 isolate D19-2445, complete genome",10723,0.4613447729180266,0.0,ARB,Dengue virus 2,Flavivirus
PX480322,PX480322.1,"PX480322.1 Dengue virus type 2 isolate D19-2324, complete genome",10723,0.4619975753054182,0.0,ARB,Dengue virus 2,Flavivirus
PX480321,PX480321.1,"PX480321.1 Dengue virus type 2 isolate D19-2249, complete genome",10723,0.4610650004662874,0.0,ARB,Dengue virus 2,Flavivirus
PX480320,PX480320.1,"PX480320.1 Dengue virus type 2 isolate D19-2061, complete genome",10723,0.4608784854984613,0.0,ARB,Dengue virus 2,Flavivirus
PX480319,PX480319.1,"PX480319.1 Dengue virus type 2 isolate D19-2044, complete genome",10723,0.4612515154341136,0.0,ARB,Dengue virus 2,Flavivirus
PX480318,PX480318.1,"PX480318.1 Dengue virus type 2 isolate D19-1820, complete genome",10723,0.4608784854984613,0.0,ARB,Dengue virus 2,Flavivirus
PX480317,PX480317.1,"PX480317.1 Dengue virus type 2 isolate D19-1678, complete genome",10723,0.4623706052410706,0.0,ARB,Dengue virus 2,Flavivirus
PX480316,PX480316.1,"PX480316.1 Dengue virus type 2 isolate D19-1576, complete genome",10723,0.4613447729180266,0.0,ARB,Dengue virus 2,Flavivirus
PX480315,PX480315.1,"PX480315.1 Dengue virus type 2 isolate D19-1559, complete genome",10723,0.4616245453697659,0.0,ARB,Dengue virus 2,Flavivirus
PX480314,PX480314.1,"PX480314.1 Dengue virus type 2 isolate D19-1472, complete genome",10723,0.4602256831110696,0.0,ARB,Dengue virus 2,Flavivirus
PX480313,PX480313.1,"PX480313.1 Dengue virus type 2 isolate D19-1325, complete genome",10723,0.4615312878858528,0.0,ARB,Dengue virus 2,Flavivirus
PX480312,PX480312.1,"PX480312.1 Dengue virus type 2 isolate D18-3349, complete genome",10723,0.459479623239765,0.0,ARB,Dengue virus 2,Flavivirus
PX480311,PX480311.1,"PX480311.1 Dengue virus type 2 isolate D18-3201, complete genome",10723,0.4605054555628089,0.0,ARB,Dengue virus 2,Flavivirus
PX480310,PX480310.1,"PX480310.1 Dengue virus type 2 isolate D18-2646, complete genome",10723,0.4600391681432434,0.0,ARB,Dengue virus 2,Flavivirus
PX480309,PX480309.1,"PX480309.1 Dengue virus type 2 isolate D18-2292, complete genome",10723,0.460598713046722,0.0,ARB,Dengue virus 2,Flavivirus
PX480308,PX480308.1,"PX480308.1 Dengue virus type 2 isolate D18-1974, complete genome",10723,0.4608784854984613,0.0,ARB,Dengue virus 2,Flavivirus
PX480307,PX480307.1,"PX480307.1 Dengue virus type 2 isolate D18-1693, complete genome",10723,0.460598713046722,0.0,ARB,Dengue virus 2,Flavivirus
PX480306,PX480306.1,"PX480306.1 Dengue virus type 2 isolate D18-1676, complete genome",10723,0.4605054555628089,0.0,ARB,Dengue virus 2,Flavivirus
PX480305,PX480305.1,"PX480305.1 Dengue virus type 2 isolate D18-1556, complete genome",10723,0.4611582579502005,0.0,ARB,Dengue virus 2,Flavivirus
PX480304,PX480304.1,"PX480304.1 Dengue virus type 2 isolate D18-1377, complete genome",10723,0.4623706052410706,0.0,ARB,Dengue virus 2,Flavivirus
PX480303,PX480303.1,"PX480303.1 Dengue virus type 2 isolate D18-1165, complete genome",10723,0.4616245453697659,0.0,ARB,Dengue virus 2,Flavivirus
PX480302,PX480302.1,"PX480302.1 Dengue virus type 2 isolate D18-1111, complete genome",10723,0.4604121980788958,0.0,ARB,Dengue virus 2,Flavivirus
PX480301,PX480301.1,"PX480301.1 Dengue virus type 2 isolate D18-0217, complete genome",10723,0.4592931082719388,0.0,ARB,Dengue virus 2,Flavivirus
PX480300,PX480300.1,"PX480300.1 Dengue virus type 1 isolate D21-0506, complete genome",10735,0.4659524918490917,0.0,ARB,Dengue virus 1,Flavivirus
PX480299,PX480299.1,"PX480299.1 Dengue virus type 1 isolate D21-0358, complete genome",10735,0.4672566371681416,0.0,ARB,Dengue virus 1,Flavivirus
PX480298,PX480298.1,"PX480298.1 Dengue virus type 1 isolate D20-0130, complete genome",10735,0.4674429436422915,0.0,ARB,Dengue virus 1,Flavivirus
PX480297,PX480297.1,"PX480297.1 Dengue virus type 1 isolate D20-0106, complete genome",10735,0.4680018630647415,0.0,ARB,Dengue virus 1,Flavivirus
PX480296,PX480296.1,"PX480296.1 Dengue virus type 1 isolate D19-2830, complete genome",10735,0.4674429436422915,0.0,ARB,Dengue virus 1,Flavivirus
PX480295,PX480295.1,"PX480295.1 Dengue virus type 1 isolate D19-2715, complete genome",10735,0.4678155565905915,0.0,ARB,Dengue virus 1,Flavivirus
PX480294,PX480294.1,"PX480294.1 Dengue virus type 1 isolate D19-2607, complete genome",10735,0.4671634839310666,0.0,ARB,Dengue virus 1,Flavivirus
PX480293,PX480293.1,"PX480293.1 Dengue virus type 1 isolate D19-2489, complete genome",10735,0.4673497904052165,0.0,ARB,Dengue virus 1,Flavivirus
PX480292,PX480292.1,"PX480292.1 Dengue virus type 1 isolate D19-2407, complete genome",10735,0.4669771774569166,0.0,ARB,Dengue virus 1,Flavivirus
PX480291,PX480291.1,"PX480291.1 Dengue virus type 1 isolate D19-2373, complete genome",10735,0.4680018630647415,0.0,ARB,Dengue virus 1,Flavivirus
PX480290,PX480290.1,"PX480290.1 Dengue virus type 1 isolate D19-2251, complete genome",10735,0.4678155565905915,0.0,ARB,Dengue virus 1,Flavivirus
PX480289,PX480289.1,"PX480289.1 Dengue virus type 1 isolate D19-2205, complete genome",10735,0.4674429436422915,0.0,ARB,Dengue virus 1,Flavivirus
PX480288,PX480288.1,"PX480288.1 Dengue virus type 1 isolate D19-2202, complete genome",10735,0.4673497904052165,0.0,ARB,Dengue virus 1,Flavivirus
PX480287,PX480287.1,"PX480287.1 Dengue virus type 1 isolate D19-2197, complete genome",10735,0.4677224033535165,0.0,ARB,Dengue virus 1,Flavivirus
PX480286,PX480286.1,"PX480286.1 Dengue virus type 1 isolate D19-2147, complete genome",10735,0.4671634839310666,0.0,ARB,Dengue virus 1,Flavivirus
